"job_title","salary_annual","job_posted_date","company_name"
"Distinguished Data Engineer (Remote- Eligible)","244500","2023-08-28 21:06:46","Capital One"
"Distinguished Data Engineer (Remote- Eligible)","244500","2023-08-23 14:08:34","Capital One"
"Senior Director, Data Management & CRM","190000","2023-10-06 18:00:21","1-800-FLOWERS.COM, INC."
"Senior Data Engineer- Uhaul Data ( Remote Eligible)","173500","2023-03-04 01:07:57","Capital One"
"Senior Data Engineer (Hybrid)","173500","2023-03-16 19:02:33","Capital One"
"Senior Data Engineer (Remote Eligible)","170672","2023-03-04 01:07:43","Capital One"
"Data Analyst (Oracle DBA)","140000","2023-02-24 17:00:14","Engage Partners, Inc."
"Fraud Lead Data Analyst","131900","2023-05-26 20:00:38","TIAA Bank"
"Data Scientist","117500","2023-11-01 10:01:57","hackajob"
"Senior Data Scientist","117500","2023-11-21 15:02:49","hackajob"
"Oracle DBA/Data Analyst","100000","2023-02-21 21:00:14","Pull Skill Technologies"
"Senior Data Analyst","100000","2023-01-31 21:00:04","Engage Partners, Inc."
"Business Analyst","95000","2023-09-27 21:00:20","ForceBrands"
"Institutional Credit Management - AVP Data Analyst","89830","2023-01-03 03:00:09","Citi"
"Data Engineer","87500","2023-07-06 11:08:08","Jobot"
"Data Engineer","87500","2023-11-21 10:42:03","Jobot"
"Business Data Analyst","80000","2023-10-06 20:00:05","Acadia Technologies, Inc."
"Data Analyst","73100","2023-12-19 17:00:21","Knoxville Utilities Board"
"Senior Business Data Analyst","72500","2023-03-29 14:00:33","FTS, Inc."
"Data Scientist","70000","2023-03-24 18:05:22","Acadia Technologies, Inc."
